iter	Logloss
0	0.6871372029
1	0.681795569
2	0.6758670025
3	0.672475117
4	0.6675562013
5	0.6623212849
6	0.6570836287
7	0.651990871
8	0.6481231794
9	0.6455133879
10	0.6423380378
11	0.6385207326
12	0.6332322676
13	0.6296883267
14	0.6238360901
15	0.6210582273
16	0.617887757
17	0.6133888151
18	0.6093721686
19	0.6059955388
20	0.6047104587
21	0.6001256612
22	0.5977639864
23	0.5946316478
24	0.5914665409
25	0.5885511368
26	0.5866244917
27	0.5835819115
28	0.5802689284
29	0.5755177782
30	0.5728036671
31	0.5693260579
32	0.5673374841
33	0.5640063822
34	0.5603701416
35	0.5587141383
36	0.5559119694
37	0.5528796761
38	0.5507274812
39	0.5488689759
40	0.5460932852
41	0.5432747092
42	0.5405233976
43	0.5373542332
44	0.5354295781
45	0.5313262758
46	0.5296135378
47	0.5289274824
48	0.5275571735
49	0.5251815102
50	0.5224523398
51	0.5206987975
52	0.5187479666
53	0.5171873882
54	0.5144017876
55	0.512269045
56	0.5093600126
57	0.5060822177
58	0.5046995698
59	0.5028558496
60	0.500215924
61	0.4983489562
62	0.497103165
63	0.495545835
64	0.4935784235
65	0.4892536867
66	0.4874452996
67	0.4865272216
68	0.4834931469
69	0.4808979614
70	0.4796808308
71	0.47758066
72	0.47543208
73	0.4742398455
74	0.4725472159
75	0.4716546534
76	0.4700481782
77	0.4671355366
78	0.4656813758
79	0.4634754651
80	0.4620736017
81	0.4612789575
82	0.4595763615
83	0.4579793151
84	0.4569867622
85	0.456295277
86	0.4552565727
87	0.4539904873
88	0.4525401068
89	0.4507651051
90	0.449675683
91	0.4476078991
92	0.4463018877
93	0.4453412832
94	0.4427140472
95	0.4391365453
96	0.43752828
97	0.4349379061
98	0.4327817905
99	0.4317450372
