iter	Logloss
0	0.6846204724
1	0.6777396902
2	0.6692050575
3	0.6588003851
4	0.6526081924
5	0.6446281177
6	0.6383200184
7	0.6318069288
8	0.6237323801
9	0.6161858804
10	0.6128090332
11	0.607617936
12	0.6000334769
13	0.5936293795
14	0.5885827215
15	0.5858595224
16	0.5797901692
17	0.5755668964
18	0.571662962
19	0.5667376607
20	0.5622271774
21	0.5584709846
22	0.5541269263
23	0.5503959907
24	0.5458064257
25	0.541428873
26	0.5378464586
27	0.5330956312
28	0.5279740917
29	0.5232656091
30	0.5206506074
31	0.5137318544
32	0.5099476469
33	0.5064961407
34	0.5016483382
35	0.4977278541
36	0.4932119995
37	0.4900919752
38	0.4862066539
39	0.4827230521
40	0.4801028007
41	0.476373084
42	0.4719026164
43	0.4676659657
44	0.4651957715
45	0.4608882731
46	0.4550514494
47	0.4530317835
48	0.4486099407
49	0.4463381537
50	0.4423570792
51	0.4392974736
52	0.433656412
53	0.4285137124
54	0.4243884119
55	0.4209473855
56	0.41720817
57	0.4139720554
58	0.4080396062
59	0.4046373869
60	0.3984413325
61	0.3944697597
62	0.3905928685
63	0.3850699351
64	0.3816925525
65	0.3772859716
66	0.3721251385
67	0.3679395317
68	0.3615402561
69	0.3581185273
70	0.3542149523
71	0.3509051197
72	0.3485677884
73	0.3448935462
74	0.3400659701
75	0.3378177397
76	0.3353718179
77	0.3327316324
78	0.3290313247
79	0.3272635403
80	0.3240217864
81	0.3212934622
82	0.3168421881
83	0.3133172584
84	0.3103133879
85	0.3064131504
86	0.3033129975
87	0.3008128069
88	0.2980230986
89	0.2961817816
90	0.2938939808
91	0.2897648728
92	0.2873714907
93	0.2850541849
94	0.2817762531
95	0.2807841116
96	0.2785515782
97	0.277085504
98	0.274479468
99	0.2725371473
